pair_id,article_a_id,article_b_id,event_a_id,event_b_id,category,difficulty,relationship_type,article_a_title,article_a_text,article_b_title,article_b_text,date_a,date_b,location_a,location_b,entities_a,entities_b,ground_truth,reason
P0349,SC047-B,SC047-A,SCI_047,SCI_047,Science,hard,different_detail_level,The Science Behind the New Solar Material,"The newly discovered material announced this week achieves higher efficiency by absorbing a broader spectrum of sunlight than conventional silicon cells, researchers explained, detailing a layered structure that reduces energy loss during conversion. Early lab prototypes showed efficiency gains of roughly 12 percent over standard panels, though the team cautioned that manufacturing the material at commercial scale presents significant engineering challenges that could take years to resolve. Several energy companies have already expressed interest in licensing the technology once a scalable production method is developed.",New Material Discovered for Solar Panels,"Researchers announced Sunday the discovery of a new material that could significantly improve solar panel efficiency, potentially lowering the cost of solar energy production.",2026-04-02,2026-04-01,Undisclosed,Undisclosed,solar material; technical details,solar panel material; discovery,SAME_EVENT,The second article provides much deeper technical detail about the same material discovery reported briefly in the first.
P0350,SC044-A,SC045-A,SCI_044,SCI_045,Science,very_hard,same_topic_different_event,Follow-Up Analysis Pinpoints Radio Burst Source,"Further analysis published Saturday has pinpointed the likely source of the fast radio burst detected earlier this year, narrowing it to a specific type of collapsed star.",Different Fast Radio Burst Detected by Different Team,"A separate research team detected an unrelated fast radio burst Friday, originating from a different part of the sky than the burst reported earlier this year.",2026-08-01,2026-03-20,Undisclosed,Undisclosed,fast radio burst; source analysis,different fast radio burst; different team,DIFFERENT_EVENT,"Both concern fast radio burst research, but the source analysis traces back to the original signal from the first article while the second article is an unrelated burst detected by a different team."
P0351,W040-A,W040-B,WORLD_040,WORLD_040,World,easy,paraphrase,Typhoon Hits Coastal City of Meridia,"A powerful typhoon made landfall near the coastal city of Meridia early Saturday, downing power lines and forcing the evacuation of low-lying neighborhoods.",Meridia Battered as Typhoon Makes Landfall,Residents of Meridia weathered a powerful typhoon Saturday that knocked out power across much of the coastal city and prompted evacuations in vulnerable areas.,2026-08-01,2026-08-01,Meridia,Meridia,Meridia; typhoon landfall,Meridia; typhoon,SAME_EVENT,Both articles describe the same typhoon making landfall in Meridia on the same date.
P0352,W040-C,W040-A,WORLD_040,WORLD_040,World,medium,different_source,Meridia Begins Cleanup After Typhoon,"Cleanup crews began clearing debris across Meridia on Sunday, a day after a powerful typhoon knocked out power and flooded parts of the coastal city.",Typhoon Hits Coastal City of Meridia,"A powerful typhoon made landfall near the coastal city of Meridia early Saturday, downing power lines and forcing the evacuation of low-lying neighborhoods.",2026-08-02,2026-08-01,Meridia,Meridia,Meridia; typhoon cleanup,Meridia; typhoon landfall,SAME_EVENT,A cleanup-focused follow-up about the same typhoon landfall reported a day earlier.
P0353,W040-A,W041-A,WORLD_040,WORLD_041,World,easy,same_location_different_event,Typhoon Hits Coastal City of Meridia,"A powerful typhoon made landfall near the coastal city of Meridia early Saturday, downing power lines and forcing the evacuation of low-lying neighborhoods.",Meridia Hosts Trade Fair,"Meridia hosted an international trade fair Thursday, a long-planned commercial event unrelated to other recent news from the coastal city.",2026-08-01,2026-10-01,Meridia,Meridia,Meridia; typhoon,Meridia; trade fair,DIFFERENT_EVENT,"Same city, but a typhoon disaster and an unrelated, long-planned trade fair months later are separate events."
P0354,W040-A,W042-A,WORLD_040,WORLD_042,World,medium,same_topic_different_event,Typhoon Hits Coastal City of Meridia,"A powerful typhoon made landfall near the coastal city of Meridia early Saturday, downing power lines and forcing the evacuation of low-lying neighborhoods.",Different Typhoon Hits Different Coastal Region,"A separate typhoon made landfall in a different coastal region Monday, unrelated to the storm that struck Meridia earlier in the month.",2026-08-01,2026-08-10,Meridia,Different coastal region,Meridia; typhoon,different region; typhoon,DIFFERENT_EVENT,"Both are typhoon landfall stories in the same month with similar framing, but they occur in two entirely different coastal regions."
P0355,W043-A,W044-A,WORLD_043,WORLD_044,World,medium,follow_up,Peace Accord Signed Ending Civil Conflict,"Warring factions signed a peace accord Wednesday ending a years-long civil conflict, in a ceremony attended by international mediators.",Peace Accord Implementation Begins,"Implementation of the peace accord began Friday, a month after its signing, with the first phase involving the disarmament of former combatants.",2026-04-01,2026-05-01,Undisclosed,Undisclosed,peace accord; signing,peace accord; implementation,SAME_EVENT,The implementation phase is a direct continuation of the same peace accord described in the first article.
P0356,W043-A,W045-A,WORLD_043,WORLD_045,World,hard,different_incident,Peace Accord Signed Ending Civil Conflict,"Warring factions signed a peace accord Wednesday ending a years-long civil conflict, in a ceremony attended by international mediators.",Separate Ceasefire Announced in Different Conflict,"A separate ceasefire was announced Sunday in an unrelated conflict in a different country, distinct from the peace accord signed elsewhere earlier in the month.",2026-04-01,2026-04-15,Undisclosed,Different country,peace accord; civil conflict,ceasefire; different conflict,DIFFERENT_EVENT,"Both are conflict-resolution stories from the same general period with similar framing, but they involve two entirely different, unrelated conflicts."
P0357,W040-B,W046-A,WORLD_040,WORLD_046,World,hard,same_entities_different_date,Meridia Battered as Typhoon Makes Landfall,Residents of Meridia weathered a powerful typhoon Saturday that knocked out power across much of the coastal city and prompted evacuations in vulnerable areas.,Meridia Hit by Another Typhoon a Year Later,"A second typhoon struck Meridia Saturday, a year after the previous storm, again forcing evacuations in the coastal city's low-lying areas.",2026-08-01,2027-08-01,Meridia,Meridia,Meridia; typhoon,Meridia; second typhoon,DIFFERENT_EVENT,"Same city and same type of disaster, but the two typhoon landfalls occurred a year apart and are separate incidents."
P0358,W047-A,W048-A,WORLD_047,WORLD_047,World,medium,follow_up,International Court Rules on Territorial Dispute,"An international court issued a ruling Monday on a long-running territorial dispute between two nations, siding largely with one country's claims over a contested border region.",Nations Respond to Territorial Dispute Ruling,"Both nations involved in the territorial dispute issued statements Thursday responding to the international court's ruling, with the losing party saying it would seek an appeal through diplomatic channels.",2026-06-01,2026-06-10,Undisclosed,Undisclosed,international court; territorial ruling,nations; ruling response,SAME_EVENT,The response coverage is directly about the same court ruling described in the first article.
P0359,W047-B,W047-A,WORLD_047,WORLD_047,World,hard,different_detail_level,Inside the Territorial Dispute Ruling and What Comes Next,"Monday's ruling by the international court caps a legal process that began nearly a decade ago, legal experts said, noting that the decision relied heavily on historical treaty documents submitted by both nations during years of proceedings. While the ruling is considered binding under international law, experts cautioned that enforcement mechanisms remain limited, and similar rulings in other territorial disputes have sometimes gone unimplemented for years. Diplomats from both countries are expected to hold follow-up talks in the coming weeks to discuss practical steps toward implementing the court's decision.",International Court Rules on Territorial Dispute,"An international court issued a ruling Monday on a long-running territorial dispute between two nations, siding largely with one country's claims over a contested border region.",2026-06-02,2026-06-01,Undisclosed,Undisclosed,territorial ruling; legal background,international court; territorial ruling,SAME_EVENT,The second article provides extensive legal background on the same court ruling reported briefly in the first.
P0360,W044-A,W045-A,WORLD_044,WORLD_045,World,very_hard,same_topic_different_event,Peace Accord Implementation Begins,"Implementation of the peace accord began Friday, a month after its signing, with the first phase involving the disarmament of former combatants.",Separate Ceasefire Announced in Different Conflict,"A separate ceasefire was announced Sunday in an unrelated conflict in a different country, distinct from the peace accord signed elsewhere earlier in the month.",2026-05-01,2026-04-15,Undisclosed,Different country,peace accord; implementation,ceasefire; different conflict,DIFFERENT_EVENT,"Both are conflict-resolution stories, but the implementation phase concerns the original peace accord while the second article is an unrelated ceasefire in a different conflict earlier in the month."
P0361,H040-A,H040-B,HEALTH_040,HEALTH_040,Health,easy,paraphrase,New Alzheimer's Drug Memoril Approved,"Health regulators approved a new Alzheimer's medication called Memoril on Thursday, clearing it for use in patients with early-stage cognitive decline.",Memoril Cleared for Early-Stage Alzheimer's Treatment,"Regulators gave approval this week to Memoril, a new medication for patients with early-stage Alzheimer's disease, following a multi-year review process.",2026-01-01,2026-01-01,Undisclosed,Undisclosed,Memoril; regulatory approval,Memoril; Alzheimer's treatment clearance,SAME_EVENT,Both describe the same Memoril approval for early-stage Alzheimer's around the same date.
P0362,H040-C,H040-A,HEALTH_040,HEALTH_040,Health,medium,different_source,Families React to Approval of New Alzheimer's Drug,"Advocacy groups and families of Alzheimer's patients welcomed the approval of Memoril this week, while cautioning that access and cost remain significant concerns.",New Alzheimer's Drug Memoril Approved,"Health regulators approved a new Alzheimer's medication called Memoril on Thursday, clearing it for use in patients with early-stage cognitive decline.",2026-01-03,2026-01-01,Undisclosed,Undisclosed,Memoril; family reaction,Memoril; regulatory approval,SAME_EVENT,A reaction piece from patient advocacy groups about the same Memoril approval reported earlier in the week.
P0363,H040-A,H041-A,HEALTH_040,HEALTH_041,Health,easy,same_entity_different_event,New Alzheimer's Drug Memoril Approved,"Health regulators approved a new Alzheimer's medication called Memoril on Thursday, clearing it for use in patients with early-stage cognitive decline.",Memoril Maker Recalls Unrelated Drug,"The pharmaceutical company behind Memoril issued a recall Thursday for a different medication in its portfolio, citing a labeling error unrelated to Memoril's approval.",2026-01-01,2026-05-01,Undisclosed,Undisclosed,Memoril maker; approval,Memoril maker; unrelated recall,DIFFERENT_EVENT,"Same pharmaceutical company, but approving Memoril and recalling a separate, unrelated medication months later are distinct events."
P0364,H040-A,H042-A,HEALTH_040,HEALTH_042,Health,medium,same_topic_different_event,New Alzheimer's Drug Memoril Approved,"Health regulators approved a new Alzheimer's medication called Memoril on Thursday, clearing it for use in patients with early-stage cognitive decline.",Different Alzheimer's Drug Approved by Rival Company,"A rival pharmaceutical company received approval Saturday for its own Alzheimer's medication, unrelated to Memoril's approval earlier in the month.",2026-01-01,2026-01-15,Undisclosed,Undisclosed,Memoril; approval,different Alzheimer's drug; different company,DIFFERENT_EVENT,"Both are new Alzheimer's medication approvals within the same month, but they involve two entirely different companies and drugs."
P0365,H043-A,H044-A,HEALTH_043,HEALTH_044,Health,medium,follow_up,Hospital Chain Reports Data Breach Affecting Patients,"A major hospital chain disclosed Sunday that a data breach exposed personal information for roughly 300,000 patients, including medical record numbers and insurance details.",Hospital Chain Offers Free Credit Monitoring,"The hospital chain affected by last week's data breach began offering free credit monitoring services to affected patients Tuesday, part of its response to the incident.",2026-02-01,2026-02-10,Undisclosed,Undisclosed,hospital chain; data breach,hospital chain; credit monitoring,SAME_EVENT,The credit monitoring offer is a direct response to the same data breach described in the first article.
P0366,H043-A,H045-A,HEALTH_043,HEALTH_045,Health,hard,different_incident,Hospital Chain Reports Data Breach Affecting Patients,"A major hospital chain disclosed Sunday that a data breach exposed personal information for roughly 300,000 patients, including medical record numbers and insurance details.",Separate Hospital Reports Different Breach,"A different hospital system disclosed its own data breach Thursday, unrelated to the breach reported at a different hospital chain earlier in the month.",2026-02-01,2026-02-20,Undisclosed,Undisclosed,hospital chain; data breach,different hospital; data breach,DIFFERENT_EVENT,"Both are hospital data breach stories in the same month with similar framing, but they involve two entirely different hospital systems."
P0367,H040-B,H046-A,HEALTH_040,HEALTH_046,Health,hard,same_entities_different_date,Memoril Cleared for Early-Stage Alzheimer's Treatment,"Regulators gave approval this week to Memoril, a new medication for patients with early-stage Alzheimer's disease, following a multi-year review process.",Memoril Gets Approval in New Country a Year Later,"Memoril received regulatory approval in a second country Friday, a year after its original approval, expanding access to the Alzheimer's medication internationally.",2026-01-01,2027-01-01,Undisclosed,Different country,Memoril; original approval,Memoril; new country approval,DIFFERENT_EVENT,"Same medication, but the original approval and a separate international approval a year later are distinct regulatory events."
P0368,H047-A,H049-A,HEALTH_047,HEALTH_049,Health,medium,follow_up,Study Finds Exercise Reduces Depression Risk,"A new study published Wednesday found that regular moderate exercise significantly reduced the risk of developing depression, based on data from over 30,000 participants tracked over several years.",Researchers Launch Larger Study on Exercise and Mental Health,"Researchers behind the exercise-depression study announced Saturday they are launching a larger, more detailed study to further examine the relationship, building on findings published five months earlier.",2026-03-01,2026-08-01,Undisclosed,Undisclosed,exercise; depression risk study,exercise; larger mental health study,SAME_EVENT,The larger follow-up study is a direct continuation of the same research described in the first article.
P0369,H047-B,H047-A,HEALTH_047,HEALTH_047,Health,hard,different_detail_level,The Numbers Behind the Exercise-Depression Study,"The study published this week tracked participants' exercise habits and mental health outcomes over an average of six years, researchers said, finding that those who exercised moderately at least three times a week had a 26 percent lower risk of developing depression compared to sedentary participants, even after accounting for other lifestyle factors. The effect was strongest among participants who began exercising regularly in their thirties and forties, the study found. Researchers cautioned that the study shows correlation rather than definitive causation, though the effect size was consistent across multiple demographic subgroups analyzed.",Study Finds Exercise Reduces Depression Risk,"A new study published Wednesday found that regular moderate exercise significantly reduced the risk of developing depression, based on data from over 30,000 participants tracked over several years.",2026-03-02,2026-03-01,Undisclosed,Undisclosed,exercise study; statistical details,exercise; depression risk study,SAME_EVENT,The second article provides much richer statistical detail about the same study reported briefly in the first.
P0370,H044-A,H045-A,HEALTH_044,HEALTH_045,Health,very_hard,same_topic_different_event,Hospital Chain Offers Free Credit Monitoring,"The hospital chain affected by last week's data breach began offering free credit monitoring services to affected patients Tuesday, part of its response to the incident.",Separate Hospital Reports Different Breach,"A different hospital system disclosed its own data breach Thursday, unrelated to the breach reported at a different hospital chain earlier in the month.",2026-02-10,2026-02-20,Undisclosed,Undisclosed,hospital chain; credit monitoring,different hospital; data breach,DIFFERENT_EVENT,"Both are hospital data-breach-related stories from the same general period, but the credit monitoring offer concerns the original breach while the second article is an unrelated breach at a different hospital."
P0371,E040-A,E040-B,ENV_040,ENV_040,Environment,easy,paraphrase,Heatwave Breaks Temperature Records in Varenna Region,"A prolonged heatwave broke temperature records across the Varenna region this week, with authorities issuing health warnings as thermometers topped 45 degrees Celsius.",Varenna Swelters as Heatwave Shatters Records,"Record-breaking heat gripped the Varenna region this week, prompting health warnings as temperatures climbed past 45 degrees Celsius for consecutive days.",2026-07-01,2026-07-01,Varenna region,Varenna region,Varenna region; heatwave,Varenna; record heat,SAME_EVENT,Both articles describe the same record-breaking heatwave in the Varenna region during the same week.
P0372,E040-C,E040-A,ENV_040,ENV_040,Environment,medium,different_source,Health Officials Urge Caution as Varenna Heat Continues,"Health officials in the Varenna region urged residents to stay indoors during peak hours Wednesday, as the record heatwave that began earlier in the week showed no signs of easing.",Heatwave Breaks Temperature Records in Varenna Region,"A prolonged heatwave broke temperature records across the Varenna region this week, with authorities issuing health warnings as thermometers topped 45 degrees Celsius.",2026-07-03,2026-07-01,Varenna region,Varenna region,Varenna; health warnings,Varenna region; heatwave,SAME_EVENT,A health-warning follow-up about the same heatwave reported earlier in the week.
P0373,E040-A,E041-A,ENV_040,ENV_041,Environment,easy,same_location_different_event,Heatwave Breaks Temperature Records in Varenna Region,"A prolonged heatwave broke temperature records across the Varenna region this week, with authorities issuing health warnings as thermometers topped 45 degrees Celsius.",Varenna Hosts Agricultural Expo,"The Varenna region hosted its annual agricultural expo Tuesday, a long-planned event unrelated to other recent news from the area.",2026-07-01,2026-09-01,Varenna region,Varenna region,Varenna region; heatwave,Varenna region; agricultural expo,DIFFERENT_EVENT,"Same region, but a record heatwave and an unrelated, long-planned agricultural expo months later are separate events."
P0374,E040-A,E042-A,ENV_040,ENV_042,Environment,medium,same_topic_different_event,Heatwave Breaks Temperature Records in Varenna Region,"A prolonged heatwave broke temperature records across the Varenna region this week, with authorities issuing health warnings as thermometers topped 45 degrees Celsius.",Different Region Hit by Separate Heatwave,"A different region experienced its own record heatwave Friday, unrelated to the extreme heat reported in the Varenna region earlier in the month.",2026-07-01,2026-07-10,Varenna region,Different region,Varenna region; heatwave,different region; heatwave,DIFFERENT_EVENT,"Both are heatwave stories from the same month with similar framing, but they occur in two entirely different regions."
P0375,E043-A,E044-A,ENV_043,ENV_044,Environment,medium,follow_up,Company Launches Large-Scale Reforestation Project,"A forestry company announced Sunday it is launching a large-scale reforestation project, aiming to plant 10 million trees across degraded land over the next five years.",First Trees Planted in Reforestation Project,"The reforestation project announced earlier this year began planting Monday, with the first batch of saplings going into the ground at the initiative's flagship site.",2026-03-01,2026-04-01,Undisclosed,Undisclosed,reforestation project; launch,reforestation project; first planting,SAME_EVENT,The first planting is a direct continuation of the same reforestation project described in the first article.
P0376,E043-A,E045-A,ENV_043,ENV_045,Environment,hard,different_incident,Company Launches Large-Scale Reforestation Project,"A forestry company announced Sunday it is launching a large-scale reforestation project, aiming to plant 10 million trees across degraded land over the next five years.",Different Company Launches Separate Reforestation Project,"A different company announced its own reforestation initiative Sunday, unrelated to the project launched by a competitor earlier in the month.",2026-03-01,2026-03-15,Undisclosed,Undisclosed,reforestation project; company,different reforestation project; different company,DIFFERENT_EVENT,"Both are reforestation project announcements within the same month with similar framing, but they involve two entirely different companies and separate initiatives."
P0377,E040-B,E046-A,ENV_040,ENV_046,Environment,hard,same_entities_different_date,Varenna Swelters as Heatwave Shatters Records,"Record-breaking heat gripped the Varenna region this week, prompting health warnings as temperatures climbed past 45 degrees Celsius for consecutive days.",Varenna Hit by Another Heatwave a Year Later,"A second record-breaking heatwave struck the Varenna region Wednesday, a year after the previous extreme heat event, again prompting health warnings.",2026-07-01,2027-07-01,Varenna region,Varenna region,Varenna; record heat,Varenna; second heatwave,DIFFERENT_EVENT,"Same region and same type of extreme weather, but the two heatwaves occurred a year apart and are separate events."
P0378,E047-A,E049-A,ENV_047,ENV_049,Environment,medium,follow_up,New Plastic Recycling Technology Unveiled,"Researchers unveiled a new plastic recycling technology Sunday, capable of breaking down previously non-recyclable plastic types into reusable raw material.",Recycling Technology Licensed to Manufacturer,"The newly unveiled plastic recycling technology has been licensed to a major manufacturer, researchers announced Saturday, four months after the technology's initial unveiling.",2026-05-01,2026-08-01,Undisclosed,Undisclosed,plastic recycling technology; unveiling,recycling technology; licensing,SAME_EVENT,The licensing announcement is a direct continuation of the same recycling technology described in the first article.
P0379,E047-B,E047-A,ENV_047,ENV_047,Environment,hard,different_detail_level,How the New Plastic Recycling Process Works,"The recycling technology unveiled this week uses a chemical process that breaks down plastic polymers into their base molecular components, researchers explained, allowing materials previously destined for landfills to be converted into raw material suitable for manufacturing new products. Early tests showed the process could handle several types of plastic that conventional mechanical recycling struggles with, though the team acknowledged that scaling the chemical process to industrial volumes remains a significant engineering challenge. Several packaging companies have already expressed interest in exploring commercial applications.",New Plastic Recycling Technology Unveiled,"Researchers unveiled a new plastic recycling technology Sunday, capable of breaking down previously non-recyclable plastic types into reusable raw material.",2026-05-02,2026-05-01,Undisclosed,Undisclosed,recycling technology; process details,plastic recycling technology; unveiling,SAME_EVENT,The second article provides much deeper technical detail about the same recycling technology reported briefly in the first.
P0380,E044-A,E045-A,ENV_044,ENV_045,Environment,very_hard,same_topic_different_event,First Trees Planted in Reforestation Project,"The reforestation project announced earlier this year began planting Monday, with the first batch of saplings going into the ground at the initiative's flagship site.",Different Company Launches Separate Reforestation Project,"A different company announced its own reforestation initiative Sunday, unrelated to the project launched by a competitor earlier in the month.",2026-04-01,2026-03-15,Undisclosed,Undisclosed,reforestation project; first planting,different reforestation project; different company,DIFFERENT_EVENT,"Both are reforestation stories from around the same period, but the first planting concerns the original project while the second article is an unrelated initiative from a different company."
P0381,C040-A,C040-B,CRIME_040,CRIME_040,Crime,easy,paraphrase,"Bank Fraud Scheme Uncovered, Executives Charged",Federal prosecutors charged three bank executives Sunday in connection with a fraud scheme that allegedly misled investors about the institution's financial health.,Executives Charged in Bank Fraud Case,Three executives at a regional bank were charged this week in a fraud scheme prosecutors say involved falsifying financial records to mislead investors.,2026-02-01,2026-02-01,Undisclosed,Undisclosed,bank executives; fraud charges,bank executives; fraud scheme,SAME_EVENT,Both articles describe the same bank fraud charges filed against the same three executives around the same date.
P0382,C040-C,C040-A,CRIME_040,CRIME_040,Crime,medium,different_source,Investors React to Bank Fraud Charges,"Shareholders expressed outrage this week following news that three bank executives had been charged with fraud, with several calling for a full board review.","Bank Fraud Scheme Uncovered, Executives Charged",Federal prosecutors charged three bank executives Sunday in connection with a fraud scheme that allegedly misled investors about the institution's financial health.,2026-02-03,2026-02-01,Undisclosed,Undisclosed,bank fraud; investor reaction,bank executives; fraud charges,SAME_EVENT,An investor-reaction piece about the same fraud charges reported earlier in the week.
P0383,C040-A,C041-A,CRIME_040,CRIME_041,Crime,easy,same_entity_different_event,"Bank Fraud Scheme Uncovered, Executives Charged",Federal prosecutors charged three bank executives Sunday in connection with a fraud scheme that allegedly misled investors about the institution's financial health.,Same Executives Face Separate Tax Evasion Charges,"The same three bank executives charged with fraud earlier this year now face separate tax evasion charges, prosecutors announced Sunday, related to personal financial dealings.",2026-02-01,2026-06-01,Undisclosed,Undisclosed,bank executives; fraud charges,bank executives; tax evasion charges,DIFFERENT_EVENT,"Same executives, but the original bank fraud charges and unrelated personal tax evasion charges months later are separate legal cases."
P0384,C040-A,C042-A,CRIME_040,CRIME_042,Crime,medium,same_topic_different_event,"Bank Fraud Scheme Uncovered, Executives Charged",Federal prosecutors charged three bank executives Sunday in connection with a fraud scheme that allegedly misled investors about the institution's financial health.,Different Bank Fraud Scheme Uncovered Elsewhere,"A separate bank fraud scheme was uncovered Friday at a different financial institution, unrelated to the fraud case reported earlier in the month.",2026-02-01,2026-02-15,Undisclosed,Undisclosed,bank fraud; executives charged,different bank; fraud scheme,DIFFERENT_EVENT,"Both are bank fraud stories within the same month with similar framing, but they involve two entirely different financial institutions."
P0385,C043-A,C044-A,CRIME_043,CRIME_044,Crime,medium,follow_up,"Kidnapping Case Resolved, Victim Found Safe","Police resolved a kidnapping case Sunday, locating the victim unharmed after a two-day search that involved coordination across multiple jurisdictions.",Suspect in Kidnapping Case Sentenced,"The suspect convicted in the kidnapping case was sentenced to 25 years in prison Monday, months after the victim was found safe.",2026-03-01,2026-08-01,Undisclosed,Undisclosed,kidnapping case; victim found,kidnapping suspect; sentencing,SAME_EVENT,The sentencing is a direct continuation of the same kidnapping case described in the first article.
P0386,C043-A,C045-A,CRIME_043,CRIME_045,Crime,hard,different_incident,"Kidnapping Case Resolved, Victim Found Safe","Police resolved a kidnapping case Sunday, locating the victim unharmed after a two-day search that involved coordination across multiple jurisdictions.",Separate Kidnapping Case Reported in Different City,"A different city reported an unrelated kidnapping case Wednesday, separate from the case resolved elsewhere earlier in the month.",2026-03-01,2026-03-10,Undisclosed,Different city,kidnapping case; victim found,different city; kidnapping case,DIFFERENT_EVENT,"Both are kidnapping-related stories from the same general period with similar framing, but they involve two entirely different cities and separate cases."
P0387,C040-B,C046-A,CRIME_040,CRIME_046,Crime,hard,same_entities_different_date,Executives Charged in Bank Fraud Case,Three executives at a regional bank were charged this week in a fraud scheme prosecutors say involved falsifying financial records to mislead investors.,Bank Fraud Executives' Trial Begins a Year Later,"The trial for the three bank executives charged with fraud began Monday, a year after the original charges were filed.",2026-02-01,2027-02-01,Undisclosed,Undisclosed,bank executives; fraud charges,bank executives; trial begins,DIFFERENT_EVENT,"Same case and same executives, but the original charges and the trial beginning a year later are treated as distinct, separately reported milestones."
P0388,C047-A,C049-A,CRIME_047,CRIME_049,Crime,medium,follow_up,Cybercrime Ring Dismantled in International Operation,Law enforcement agencies from six countries announced Sunday they have dismantled a cybercrime ring responsible for stealing millions of dollars through online fraud schemes.,Arrests Announced in Cybercrime Case,"Authorities announced the arrest of eight suspects Friday connected to the cybercrime ring dismantled earlier this month, following a month-long series of coordinated raids.",2026-04-01,2026-05-01,International,International,cybercrime ring; international operation,cybercrime ring; arrests,SAME_EVENT,The arrests are a direct continuation of the same international cybercrime operation described in the first article.
P0389,C047-B,C047-A,CRIME_047,CRIME_047,Crime,hard,different_detail_level,Inside the International Sting That Took Down a Cybercrime Ring,"The operation that dismantled the cybercrime ring this week involved 18 months of coordinated surveillance across six countries, investigators said, detailing how cooperation between financial intelligence units helped trace stolen funds through a complex network of shell accounts. The ring is believed to have targeted small businesses primarily through phishing schemes and fraudulent invoice requests, netting an estimated $40 million before its takedown. Investigators said the operation's success relied heavily on a joint task force established two years ago specifically to address cross-border cybercrime.",Cybercrime Ring Dismantled in International Operation,Law enforcement agencies from six countries announced Sunday they have dismantled a cybercrime ring responsible for stealing millions of dollars through online fraud schemes.,2026-04-02,2026-04-01,International,International,cybercrime ring; operation details,cybercrime ring; international operation,SAME_EVENT,The second article provides much deeper investigative detail about the same cybercrime takedown reported briefly in the first.
P0390,C044-A,C045-A,CRIME_044,CRIME_045,Crime,very_hard,same_topic_different_event,Suspect in Kidnapping Case Sentenced,"The suspect convicted in the kidnapping case was sentenced to 25 years in prison Monday, months after the victim was found safe.",Separate Kidnapping Case Reported in Different City,"A different city reported an unrelated kidnapping case Wednesday, separate from the case resolved elsewhere earlier in the month.",2026-08-01,2026-03-10,Undisclosed,Different city,kidnapping suspect; sentencing,different city; kidnapping case,DIFFERENT_EVENT,"Both are kidnapping-related stories, but the sentencing concerns the original resolved case while the second article is an unrelated kidnapping in a different city months earlier."
P0391,EN040-A,EN040-B,ENT_040,ENT_040,Entertainment,easy,paraphrase,Pop Band Lunar Static Releases Comeback Album,"Pop band Lunar Static released its first album in five years Friday, marking a long-awaited return following an extended hiatus.",Lunar Static Returns With New Album After Five-Year Hiatus,"After five years away, pop band Lunar Static released a new album this week, delighting longtime fans who had wondered if the group would ever reunite.",2026-03-01,2026-03-01,Undisclosed,Undisclosed,Lunar Static; comeback album,Lunar Static; new album,SAME_EVENT,Both articles describe the same Lunar Static comeback album release on the same date.
P0392,EN040-C,EN040-A,ENT_040,ENT_040,Entertainment,medium,different_source,Critics Weigh In on Lunar Static's Return,"Music critics offered mixed but largely positive reviews this week of Lunar Static's comeback album, with several praising the band's evolved sound since its hiatus began.",Pop Band Lunar Static Releases Comeback Album,"Pop band Lunar Static released its first album in five years Friday, marking a long-awaited return following an extended hiatus.",2026-03-02,2026-03-01,Undisclosed,Undisclosed,Lunar Static; reviews,Lunar Static; comeback album,SAME_EVENT,A review roundup about the same comeback album released a day earlier.
P0393,EN040-A,EN041-A,ENT_040,ENT_041,Entertainment,easy,same_entity_different_event,Pop Band Lunar Static Releases Comeback Album,"Pop band Lunar Static released its first album in five years Friday, marking a long-awaited return following an extended hiatus.",Lunar Static Cancels Scheduled Concert,"Lunar Static canceled a scheduled concert Wednesday due to illness within the band, a decision unrelated to the recent release of its comeback album.",2026-03-01,2026-06-01,Undisclosed,Undisclosed,Lunar Static; album release,Lunar Static; concert cancellation,DIFFERENT_EVENT,"Same band, but releasing an album and canceling an unrelated concert months later are separate events."
P0394,EN040-A,EN042-A,ENT_040,ENT_042,Entertainment,medium,same_topic_different_event,Pop Band Lunar Static Releases Comeback Album,"Pop band Lunar Static released its first album in five years Friday, marking a long-awaited return following an extended hiatus.",Different Band Releases Competing Album Same Month,"A different pop band released a competing album Tuesday, entering a crowded release calendar shortly after a rival group's high-profile comeback.",2026-03-01,2026-03-10,Undisclosed,Undisclosed,Lunar Static; comeback album,different band; competing album,DIFFERENT_EVENT,"Both are album releases in the same month, but they come from two unrelated, competing bands."
P0395,EN043-A,EN044-A,ENT_043,ENT_044,Entertainment,medium,follow_up,Film Studio Announces Sequel to Hit Movie,"A major film studio announced Sunday it is developing a sequel to last year's box office hit, with the original director set to return.",Casting Announced for Movie Sequel,"The studio behind the upcoming sequel announced its cast Monday, confirming that most of the original film's lead actors will reprise their roles.",2026-02-01,2026-04-01,Undisclosed,Undisclosed,film studio; sequel announcement,sequel; casting,SAME_EVENT,The casting announcement is a direct continuation of the same sequel project described in the first article.
P0396,EN043-A,EN045-A,ENT_043,ENT_045,Entertainment,hard,different_incident,Film Studio Announces Sequel to Hit Movie,"A major film studio announced Sunday it is developing a sequel to last year's box office hit, with the original director set to return.",Different Studio Announces Unrelated Sequel,"A separate film studio announced its own sequel project Sunday, unrelated to the sequel announced by a different studio earlier in the month.",2026-02-01,2026-02-15,Undisclosed,Undisclosed,film studio; sequel announcement,different studio; different sequel,DIFFERENT_EVENT,"Both are movie sequel announcements within the same month with similar framing, but they involve two entirely different studios and films."
